id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-VOC-0365,C1,Vocabulari temàtic,test,Com diries “cabecera” en valencià?,capçalera,comiat,bestreta,queixa,A,“cabecera” correspon a “capçalera”.,Material original
C1-VOC-0366,C1,Vocabulari temàtic,test,Com diries “borrador” en valencià?,endarrerir,comiat,recerca,esborrany,D,“borrador” correspon a “esborrany”.,Material original
C1-VOC-0367,C1,Vocabulari temàtic,test,Com diries “plazo” en valencià?,deute,termini,taxa,assolir,B,“plazo” correspon a “termini”.,Material original
C1-VOC-0368,C1,Vocabulari temàtic,test,Com diries “tasa” en valencià?,abonar,mancança,taxa,ajornar,C,“tasa” correspon a “taxa”.,Material original
C1-VOC-0369,C1,Vocabulari temàtic,test,Com diries “anticipo” en valencià?,sol·licitud,deute,bestreta,ajornar,C,“anticipo” correspon a “bestreta”.,Material original
C1-VOC-0370,C1,Vocabulari temàtic,test,Com diries “deuda” en valencià?,deute,recerca,capçalera,aclariment,A,“deuda” correspon a “deute”.,Material original
C1-VOC-0371,C1,Vocabulari temàtic,test,Com diries “despedida” en valencià?,termini,bestreta,comiat,esborrany,C,“despedida” correspon a “comiat”.,Material original
C1-VOC-0372,C1,Vocabulari temàtic,test,Com diries “investigación” en valencià?,queixa,aclariment,bestreta,recerca,D,“investigación” correspon a “recerca”.,Material original
C1-VOC-0373,C1,Vocabulari temàtic,test,Com diries “queja” en valencià?,ajornar,entrebanc,esborrany,queixa,D,“queja” correspon a “queixa”.,Material original
C1-VOC-0374,C1,Vocabulari temàtic,test,Com diries “solicitud” en valencià?,queixa,ajornar,sol·licitud,deute,C,“solicitud” correspon a “sol·licitud”.,Material original
C1-VOC-0375,C1,Vocabulari temàtic,test,Com diries “aclaración” en valencià?,aclariment,esborrany,entrebanc,taxa,A,“aclaración” correspon a “aclariment”.,Material original
C1-VOC-0376,C1,Vocabulari temàtic,test,Com diries “acontecimiento” en valencià?,mancança,assolir,esdeveniment,recerca,C,“acontecimiento” correspon a “esdeveniment”.,Material original
C1-VOC-0377,C1,Vocabulari temàtic,test,Com diries “obstáculo” en valencià?,ajornar,entrebanc,sol·licitud,bestreta,B,“obstáculo” correspon a “entrebanc”.,Material original
C1-VOC-0378,C1,Vocabulari temàtic,test,Com diries “carencia” en valencià?,escaure,mancança,recerca,termini,B,“carencia” correspon a “mancança”.,Material original
C1-VOC-0379,C1,Vocabulari temàtic,test,Com diries “alcanzar” en valencià?,escaure,taxa,assolir,mancança,C,“alcanzar” correspon a “assolir”.,Material original
C1-VOC-0380,C1,Vocabulari temàtic,test,Com diries “retrasar” en valencià?,ajornar,endarrerir,mancança,queixa,B,“retrasar” correspon a “endarrerir”.,Material original
C1-VOC-0381,C1,Vocabulari temàtic,test,Com diries “aplazar” en valencià?,aclariment,mancança,ajornar,comiat,C,“aplazar” correspon a “ajornar”.,Material original
C1-VOC-0382,C1,Vocabulari temàtic,test,Com diries “pagar” en valencià?,abonar,queixa,trametre,recerca,A,“pagar” correspon a “abonar”.,Material original
C1-VOC-0383,C1,Vocabulari temàtic,test,Com diries “enviar” en valencià?,queixa,bestreta,trametre,endarrerir,C,“enviar” correspon a “trametre”.,Material original
C1-VOC-0384,C1,Vocabulari temàtic,test,Com diries “proceder/ser adecuado” en valencià?,ajornar,comiat,escaure,recerca,C,“proceder/ser adecuado” correspon a “escaure”.,Material original
