id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-ORT-0044,B2,Ortografia,test,Quina opció està escrita correctament?,açò,asò,axò,aixo,A,Açò porta ce trencada.,Material original
B2-ORT-0045,B2,Ortografia,test,Quina opció està escrita correctament?,adreça,adressa,adreçà,adreca,A,Adreça porta ce trencada.,Material original
B2-ORT-0046,B2,Ortografia,test,Quina opció està escrita correctament?,peça,peca,peçà,pessa,A,Peça porta ce trencada.,Material original
B2-ORT-0047,B2,Ortografia,test,Quina opció està escrita correctament?,plaçà,plaza,plassa,plaça,D,Plaça porta ce trencada.,Material original
B2-ORT-0048,B2,Ortografia,test,Quina opció està escrita correctament?,forssa,força,forca,forçà,B,Força porta ce trencada.,Material original
B2-ORT-0049,B2,Ortografia,test,Quina opció està escrita correctament?,llengua,lengua,llenga,llengüa,A,Llengua s’escriu amb ll inicial.,Material original
B2-ORT-0050,B2,Ortografia,test,Quina opció està escrita correctament?,trevall,trebal,trebay,treball,D,Treball s’escriu amb b i ll final.,Material original
B2-ORT-0051,B2,Ortografia,test,Quina opció està escrita correctament?,camviar,cambiar,canbiar,canviar,D,Canviar s’escriu amb v.,Material original
B2-ORT-0052,B2,Ortografia,test,Quina opció està escrita correctament?,hivern,hibern,ivern,hivèrn,A,Hivern porta h inicial.,Material original
B2-ORT-0053,B2,Ortografia,test,Quina opció està escrita correctament?,air,aïr,haïr,ahir,D,Ahir porta h intercalada.,Material original
B2-ORT-0054,B2,Ortografia,test,Quina opció està escrita correctament?,orchatta,horxata,orxàta,orxata,D,Orxata no porta h inicial.,Material original
B2-ORT-0055,B2,Ortografia,test,Quina opció està escrita correctament?,metxe,mege,metje,metge,D,Metge s’escriu amb tg.,Material original
B2-ORT-0056,B2,Ortografia,test,Quina opció està escrita correctament?,platxa,placha,plaja,platja,D,Platja s’escriu amb tj.,Material original
B2-ORT-0057,B2,Ortografia,test,Quina opció està escrita correctament?,cotxe,cotxa,cotge,coxe,A,Cotxe s’escriu amb tx.,Material original
B2-ORT-0058,B2,Ortografia,test,Quina opció està escrita correctament?,despats,despaig,despatx,despach,C,Despatx acaba en -tx.,Material original
B2-ORT-0059,B2,Ortografia,test,Quina opció està escrita correctament?,maix,maitx,maj,maig,D,Maig acaba en -ig.,Material original
B2-ORT-0060,B2,Ortografia,test,Quina opció està escrita correctament?,roix,roig,roitx,roij,B,Roig acaba en -ig.,Material original
B2-ORT-0061,B2,Ortografia,test,Quina opció està escrita correctament?,viatje,viaje,viatge,viache,C,Viatge s’escriu amb tg.,Material original
B2-ORT-0400,B2,Ortografia,test,Quina opció està escrita correctament?,caza,caça,casa,cassa,C,Casa amb s sonora.,Material original
B2-ORT-0401,B2,Ortografia,test,Quina opció està escrita correctament?,caça,cassa,casa,caza,A,Caça porta ç.,Material original
B2-ORT-0402,B2,Ortografia,test,Quina opció està escrita correctament?,pasar,passar,pazar,paçar,B,Passar porta ss.,Material original
B2-ORT-0403,B2,Ortografia,test,Quina opció està escrita correctament?,zero,sero,cero,çero,A,Zero s’escriu amb z.,Material original
B2-ORT-0404,B2,Ortografia,test,Quina opció està escrita correctament?,sona,zonna,çona,zona,D,Zona s’escriu amb z.,Material original
B2-ORT-0405,B2,Ortografia,test,Quina opció està escrita correctament?,qinze,quince,quinçe,quinze,D,Quinze porta z.,Material original
