id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-ACC-0001,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,historia,historía,història,históría,C,Les esdrúixoles porten accent; en història l’accent recau en ò.,Material original
B2-ACC-0002,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,familià,familia,famíliaa,família,D,Família porta accent perquè és esdrúixola.,Material original
B2-ACC-0003,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,musica,musicà,música,mùsica,C,Música és esdrúixola.,Material original
B2-ACC-0004,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,màquina,maquina,máquina,maquína,A,Màquina és esdrúixola.,Material original
B2-ACC-0005,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,telèfon,telèfón,teléfón,telefon,A,Telèfon porta accent obert en la e.,Material original
B2-ACC-0006,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,paginà,pagina,pàgina,página,C,Pàgina és esdrúixola.,Material original
B2-ACC-0007,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,peró,pèro,pero,però,D,Però porta accent obert en la o.,Material original
B2-ACC-0008,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,això,axò,aixo,aixó,A,Això porta accent obert en la o.,Material original
B2-ACC-0009,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,tambè,també,tambe,támbe,B,També porta accent tancat en la e.,Material original
B2-ACC-0010,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,desprès,déspres,després,despres,C,Després porta accent tancat.,Material original
B2-ACC-0011,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,nómés,només,nòmes,nomes,B,Només porta accent tancat.,Material original
B2-ACC-0012,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,pèrque,perqué,perquè,perque,C,Perquè porta accent obert en valencià estàndard.,Material original
B2-ACC-0036,B2,Accentuació i dièresi,test,La paraula “camió” és...,plana,monosíl·laba,aguda,esdrúixola,C,Acaba en vocal i porta accent perquè és aguda.,Material original
B2-ACC-0037,B2,Accentuació i dièresi,test,La paraula “fàcil” és...,sobreesdrúixola,aguda,esdrúixola,plana,D,"Fàcil és plana i no acaba en vocal, vocal+s, -en ni -in.",Material original
B2-ACC-0038,B2,Accentuació i dièresi,test,La paraula “música” és...,monosíl·laba,aguda,plana,esdrúixola,D,Les esdrúixoles porten accent sempre.,Material original
B2-ACC-0039,B2,Accentuació i dièresi,test,"En “però”, l’accent és...",dièresi,diacrític desaparegut,obert,tancat,C,Però porta accent obert.,Material original
B2-ACC-0415,B2,Accentuació i ortografia,hueco,Completa amb la forma correcta: ___ és molt important.,,,,,açò,"Fixa’t en accents, dièresi o grafies normatives.",Material original
B2-ACC-0416,B2,Accentuació i ortografia,hueco,Completa: Jo ___ vull participar.,,,,,també,"Fixa’t en accents, dièresi o grafies normatives.",Material original
B2-ACC-0417,B2,Accentuació i ortografia,hueco,Completa: No vinc ___ estic cansat.,,,,,perquè,"Fixa’t en accents, dièresi o grafies normatives.",Material original
B2-ACC-0418,B2,Accentuació i ortografia,hueco,Completa: Primer estudiarem i ___ descansarem.,,,,,després,"Fixa’t en accents, dièresi o grafies normatives.",Material original
B2-APO-0085,B2,Apostrofació i contraccions,test,Tria la forma més adequada.,el home,la home,l’home,lo home,C,El + mot començat per vocal o h: l’home.,Material original
B2-APO-0086,B2,Apostrofació i contraccions,test,Tria la forma més adequada.,l’amiga,là amiga,la amiga,el amiga,A,La s’apostrofa davant vocal: l’amiga.,Material original
B2-APO-0087,B2,Apostrofació i contraccions,test,Tria la forma més adequada.,la universitat,el universitat,l’universitat,là universitat,A,La no s’apostrofa davant i/u àtones.,Material original
B2-COM-0294,B2,Comprensió escrita,test,"Text: L’Ajuntament ha anunciat que, a partir de setembre, ampliarà l’horari de la biblioteca municipal. La mesura respon a les peticions de l’alumnat, que demanava més temps d’estudi durant les vesprades. També s’habilitarà una sala silenciosa i es reforçarà el préstec digital.

Quin és l’objectiu principal de la mesura?",Reduir el préstec de llibres,Ampliar l’horari de la biblioteca,Tancar la sala d’estudi,Eliminar el préstec digital,B,La primera frase dona la informació principal.,Material original
B2-COM-0295,B2,Comprensió escrita,test,"Text: L’Ajuntament ha anunciat que, a partir de setembre, ampliarà l’horari de la biblioteca municipal. La mesura respon a les peticions de l’alumnat, que demanava més temps d’estudi durant les vesprades. També s’habilitarà una sala silenciosa i es reforçarà el préstec digital.

Qui havia demanat més temps d’estudi?",La policia local,Les editorials,El personal de neteja,L’alumnat,D,El text diu que la mesura respon a les peticions de l’alumnat.,Material original
B2-COM-0296,B2,Comprensió escrita,test,"Text: L’Ajuntament ha anunciat que, a partir de setembre, ampliarà l’horari de la biblioteca municipal. La mesura respon a les peticions de l’alumnat, que demanava més temps d’estudi durant les vesprades. També s’habilitarà una sala silenciosa i es reforçarà el préstec digital.

Quin servei es reforçarà?",La cafeteria,El transport,El préstec digital,Les classes presencials,C,El text ho indica al final.,Material original
B2-COM-0297,B2,Comprensió escrita,test,"Text: Una associació veïnal ha posat en marxa una campanya per reduir l’ús de plàstics d’un sol ús al mercat. La iniciativa inclou bosses reutilitzables, cartells informatius i tallers breus per a comerciants. Segons l’organització, el canvi serà gradual i voluntari.

Què vol reduir la campanya?",El preu dels productes,El nombre de comerciants,L’ús de plàstics d’un sol ús,Els horaris del mercat,C,És la finalitat explícita del text.,Material original
B2-COM-0298,B2,Comprensió escrita,test,"Text: Una associació veïnal ha posat en marxa una campanya per reduir l’ús de plàstics d’un sol ús al mercat. La iniciativa inclou bosses reutilitzables, cartells informatius i tallers breus per a comerciants. Segons l’organització, el canvi serà gradual i voluntari.

Quina activitat s’ofereix als comerciants?",Tallers breus,Inspeccions obligatòries,Excursions,Cursos de cuina,A,El text esmenta tallers breus per a comerciants.,Material original
B2-COM-0299,B2,Comprensió escrita,test,"Text: Una associació veïnal ha posat en marxa una campanya per reduir l’ús de plàstics d’un sol ús al mercat. La iniciativa inclou bosses reutilitzables, cartells informatius i tallers breus per a comerciants. Segons l’organització, el canvi serà gradual i voluntari.

Com serà el canvi segons l’associació?",Car i sancionador,Gradual i voluntari,Immediat i obligatori,Secret i temporal,B,S’indica en l’última frase.,Material original
B2-COR-0238,B2,Correcció d’errades,texto,Corregeix: “Tinc que estudiar per a l’examen”.,,,,,He d’estudiar per a l’examen.,Obligació: haver de + infinitiu.,Material original
B2-COR-0239,B2,Correcció d’errades,texto,Corregeix: “Hi han moltes persones a la sala”.,,,,,Hi ha moltes persones a la sala.,"En registre formal, hi ha és invariable.",Material original
B2-COR-0240,B2,Correcció d’errades,texto,Corregeix: “No m’he donat compte de l’error”.,,,,,No m’he adonat de l’error.,La forma genuïna és adonar-se.,Material original
B2-COR-0241,B2,Correcció d’errades,texto,Corregeix: “Demà vaig a estudiar valencià”.,,,,,Demà estudiaré valencià.,"Per a futur, usa futur simple: estudiaré.",Material original
B2-COR-0242,B2,Correcció d’errades,texto,Corregeix: “Porte dos anys treballant ací”.,,,,,Fa dos anys que treballe ací.,Construcció temporal: fa dos anys que...,Material original
B2-COR-0243,B2,Correcció d’errades,texto,Corregeix: “La reunió començarà sobre les nou” si vols dir hora exacta.,,,,,La reunió començarà a les nou.,Per hora concreta: a les nou.,Material original
B2-COR-0258,B2,Correcció d’errades,test,Corregeix: “Tinc que estudiar per a l’examen”.,Tinc que estudiar per a l’examen,He d’estudiar per a l’examen.,Tinc de estudiar per a l’examen.,Cap de les anteriors,B,Obligació: haver de + infinitiu.,Material original
B2-COR-0259,B2,Correcció d’errades,test,Corregeix: “Hi han moltes persones a la sala”.,Hi ha moltes persones a la sala.,Hi han moltes persones a la sala,La frase és correcta tal com està.,No cal cap canvi.,A,"En registre formal, hi ha és invariable.",Material original
B2-COR-0260,B2,Correcció d’errades,test,Corregeix: “No m’he donat compte de l’error”.,No m’he adonat de l’error.,No m’he donat compte de l’error,La frase és correcta tal com està.,No cal cap canvi.,A,La forma genuïna és adonar-se.,Material original
B2-COR-0261,B2,Correcció d’errades,test,Corregeix: “Demà vaig a estudiar valencià”.,Demà estudiaré valencià.,Demà vaig a estudiar valencià,La frase és correcta tal com està.,No cal cap canvi.,A,"Per a futur, usa futur simple: estudiaré.",Material original
B2-COR-0262,B2,Correcció d’errades,test,Corregeix: “Porte dos anys treballant ací”.,Fa dos anys que treballe ací.,Porte dos anys treballant ací,La frase és correcta tal com està.,No cal cap canvi.,A,Construcció temporal: fa dos anys que...,Material original
B2-COR-0263,B2,Correcció d’errades,test,Corregeix: “La reunió començarà sobre les nou” si vols dir hora exacta.,La reunió començarà a les nou.,La reunió començarà sobre les nou,La frase és correcta tal com està.,No cal cap canvi.,A,Per hora concreta: a les nou.,Material original
B2-EXP-0312,B2,Expressió escrita,redaccio,Escriu un correu formal de 120-150 paraules per demanar informació sobre un curs de valencià.,,,,,Resposta oberta,"Inclou salutació, motiu, preguntes concretes i comiat formal.",Material original
B2-EXP-0313,B2,Expressió escrita,redaccio,Escriu una opinió breu sobre els avantatges de llegir en valencià.,,,,,Resposta oberta,"Organitza el text en introducció, dos arguments i conclusió.",Material original
B2-EXP-0314,B2,Expressió escrita,redaccio,Redacta una reclamació perquè t’han cobrat una taxa incorrecta.,,,,,Resposta oberta,"Explica els fets, demana una solució i mantín un to formal.",Material original
B2-EXP-0315,B2,Expressió escrita,redaccio,Descriu una activitat cultural del teu poble o ciutat.,,,,,Resposta oberta,Usa connectors temporals i vocabulari descriptiu.,Material original
B2-EXP-0316,B2,Expressió escrita,redaccio,"Escriu un text de recomanació sobre una sèrie, llibre o podcast en valencià.",,,,,Resposta oberta,Justifica la recomanació amb exemples.,Material original
B2-EXP-0328,B2,Expressió oral,oral,Parla durant dos minuts sobre com organitzes el teu temps d’estudi.,,,,,Resposta oberta,"Usa marcadors temporals: primer, després, finalment.",Material original
B2-EXP-0329,B2,Expressió oral,oral,Explica els avantatges i inconvenients d’estudiar en línia.,,,,,Resposta oberta,Presenta almenys dos arguments per cada banda.,Material original
