id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-ACC-0001,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,historia,historía,història,históría,C,Les esdrúixoles porten accent; en història l’accent recau en ò.,Material original
B2-ACC-0002,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,familià,familia,famíliaa,família,D,Família porta accent perquè és esdrúixola.,Material original
B2-ACC-0003,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,musica,musicà,música,mùsica,C,Música és esdrúixola.,Material original
B2-ACC-0004,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,màquina,maquina,máquina,maquína,A,Màquina és esdrúixola.,Material original
B2-ACC-0005,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,telèfon,telèfón,teléfón,telefon,A,Telèfon porta accent obert en la e.,Material original
B2-ACC-0006,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,paginà,pagina,pàgina,página,C,Pàgina és esdrúixola.,Material original
B2-ACC-0007,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,peró,pèro,pero,però,D,Però porta accent obert en la o.,Material original
B2-ACC-0008,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,això,axò,aixo,aixó,A,Això porta accent obert en la o.,Material original
B2-ACC-0009,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,tambè,també,tambe,támbe,B,També porta accent tancat en la e.,Material original
B2-ACC-0010,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,desprès,déspres,després,despres,C,Després porta accent tancat.,Material original
B2-ACC-0011,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,nómés,només,nòmes,nomes,B,Només porta accent tancat.,Material original
B2-ACC-0012,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,pèrque,perqué,perquè,perque,C,Perquè porta accent obert en valencià estàndard.,Material original
B2-ACC-0036,B2,Accentuació i dièresi,test,La paraula “camió” és...,plana,monosíl·laba,aguda,esdrúixola,C,Acaba en vocal i porta accent perquè és aguda.,Material original
B2-ACC-0037,B2,Accentuació i dièresi,test,La paraula “fàcil” és...,sobreesdrúixola,aguda,esdrúixola,plana,D,"Fàcil és plana i no acaba en vocal, vocal+s, -en ni -in.",Material original
B2-ACC-0038,B2,Accentuació i dièresi,test,La paraula “música” és...,monosíl·laba,aguda,plana,esdrúixola,D,Les esdrúixoles porten accent sempre.,Material original
B2-ACC-0039,B2,Accentuació i dièresi,test,"En “però”, l’accent és...",dièresi,diacrític desaparegut,obert,tancat,C,Però porta accent obert.,Material original
