id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C2-COR-0253,C2,Correcció d’errades,texto,"Corregeix: “En base a que no hi ha quòrum, s’ajorna la sessió”.",,,,,"Atés que no hi ha quòrum, s’ajorna la sessió.","Evita en base a que; usa atés que, segons, d’acord amb...",Material original
C2-COR-0254,C2,Correcció d’errades,texto,Corregeix: “La resolució ve a establir els criteris aplicables”.,,,,,La resolució estableix els criteris aplicables.,Evita perífrasis innecessàries en registre administratiu.,Material original
C2-COR-0255,C2,Correcció d’errades,texto,Corregeix: “S’ha de garantir de que totes les persones hi tinguen accés”.,,,,,S’ha de garantir que totes les persones hi tinguen accés.,No introdueixes complement directe amb de que.,Material original
C2-COR-0256,C2,Correcció d’errades,texto,Corregeix: “La norma que parle és recent”.,,,,,La norma de què parle és recent.,Parlar de: relatiu amb preposició de què.,Material original
C2-COR-0257,C2,Correcció d’errades,texto,Corregeix: “És una qüestió que cal aprofundir en ella”.,,,,,És una qüestió en què cal aprofundir.,Evita duplicació pronominal; en què.,Material original
C2-COR-0273,C2,Correcció d’errades,test,"Corregeix: “En base a que no hi ha quòrum, s’ajorna la sessió”.","Atés que no hi ha quòrum, s’ajorna la sessió.","En base a que no hi ha quòrum, s’ajorna la sessió",La frase és correcta tal com està.,No cal cap canvi.,A,"Evita en base a que; usa atés que, segons, d’acord amb...",Material original
C2-COR-0274,C2,Correcció d’errades,test,Corregeix: “La resolució ve a establir els criteris aplicables”.,La resolució estableix els criteris aplicables.,La resolució ve a establir els criteris aplicables,La frase és correcta tal com està.,No cal cap canvi.,A,Evita perífrasis innecessàries en registre administratiu.,Material original
C2-COR-0275,C2,Correcció d’errades,test,Corregeix: “S’ha de garantir de que totes les persones hi tinguen accés”.,S’ha de garantir que totes les persones hi tinguen accés.,S’ha de garantir de que totes les persones hi tinguen accés,La frase és correcta tal com està.,No cal cap canvi.,A,No introdueixes complement directe amb de que.,Material original
C2-COR-0276,C2,Correcció d’errades,test,Corregeix: “La norma que parle és recent”.,La norma de què parle és recent.,La norma que parle és recent,La frase és correcta tal com està.,No cal cap canvi.,A,Parlar de: relatiu amb preposició de què.,Material original
C2-COR-0277,C2,Correcció d’errades,test,Corregeix: “És una qüestió que cal aprofundir en ella”.,És una qüestió en què cal aprofundir.,És una qüestió que cal aprofundir en ella,La frase és correcta tal com està.,No cal cap canvi.,A,Evita duplicació pronominal; en què.,Material original
