id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C2-ORT-0082,C2,Ortografia,test,Quina opció està escrita correctament?,gerarquia,jerarquia,jerarquía,jerarquïa,B,Jerarquia s’escriu amb j inicial.,Material original
C2-ORT-0081,C2,Ortografia,test,Quina opció està escrita correctament?,suggerir,sugerir,suggérir,suggerír,A,Suggerir porta gg.,Material original
C2-COR-0274,C2,Correcció d’errades,test,Corregeix: “La resolució ve a establir els criteris aplicables”.,La resolució estableix els criteris aplicables.,La resolució ve a establir els criteris aplicables,La frase és correcta tal com està.,No cal cap canvi.,A,Evita perífrasis innecessàries en registre administratiu.,Material original
C2-VOC-0389,C2,Vocabulari temàtic,test,Com diries “poner de manifiesto” en valencià?,fretura,palesar,reeixir,defugir,B,“poner de manifiesto” correspon a “palesar”.,Material original
C2-PRE-0236,C2,Preposicions,test,No estic d’acord ___ aquesta interpretació.,amb,en,a,per,A,La construcció és estar d’acord amb.,Material original
C2-COM-0308,C2,Comprensió escrita,test,"Text: La proposta de reforma és ambiciosa, però la seua viabilitat depén de factors que el document només apunta de manera tangencial: la disponibilitat pressupostària, la coordinació interadministrativa i la capacitat de seguiment. Sense aquests elements, el risc no és tant el fracàs immediat com una aplicació desigual i difícilment avaluable.

Quin risc destaca el text?",Una aplicació desigual i difícilment avaluable,La desaparició del pressupost,El fracàs immediat exclusivament,L’absència total de reformes,A,És la conclusió de l’última frase.,Material original
C2-VOC-0388,C2,Vocabulari temàtic,test,Com diries “examen minucioso” en valencià?,escrutini,esmerçar,cabdal,fretura,A,“examen minucioso” correspon a “escrutini”.,Material original
C2-COR-0277,C2,Correcció d’errades,test,Corregeix: “És una qüestió que cal aprofundir en ella”.,És una qüestió en què cal aprofundir.,És una qüestió que cal aprofundir en ella,La frase és correcta tal com està.,No cal cap canvi.,A,Evita duplicació pronominal; en què.,Material original
C2-LEX-0191,C2,Lèxic,test,Tria l’equivalent més adequat.,biaixable sempre,esbiaixat,bessó,sesgado,B,Sesgado és esbiaixat.,Material original
C2-ACC-0034,C2,Accentuació i dièresi,test,Tria la forma escrita correctament.,continuum,contínuum,contínuüm,contínuam,B,Contínuum porta accent i conserva la forma culta.,Material original
C2-FRA-0207,C2,Fraseologia,test,Tria la locució adequada.,sense detall,a desgana,fil per randa,de passada,C,Vol dir amb tots els detalls.,Material original
C2-VOC-0392,C2,Vocabulari temàtic,test,Com diries “capital/importante” en valencià?,esmenar,ultrapassar,cabdal,tarannà,C,“capital/importante” correspon a “cabdal”.,Material original
C2-ORT-0084,C2,Ortografia,test,Quina opció està escrita correctament?,sugecte,subjecte,subjete,subgecte,B,Subjecte conserva ct/jecte.,Material original
C2-VOC-0398,C2,Vocabulari temàtic,test,Com diries “sobrepasar” en valencià?,cabdal,ultrapassar,tarannà,greuge,B,“sobrepasar” correspon a “ultrapassar”.,Material original
C2-VOC-0399,C2,Vocabulari temàtic,test,Com diries “corregir” en valencià?,esmenar,tarannà,fretura,cabdal,A,“corregir” correspon a “esmenar”.,Material original
C2-FRA-0209,C2,Fraseologia,test,Tria la locució adequada.,amb entusiasme,a corre-cuita,a contracor,a deshora,C,A contracor vol dir sense ganes.,Material original
C2-ACC-0043,C2,Accentuació i dièresi,test,"En un examen C2, l’accentuació serveix sobretot per a demostrar...",velocitat lectora,precisió lèxica i normativa,que saps traduir,només memòria,B,En nivells alts es valora la correcció sistemàtica.,Material original
C2-VER-0120,C2,Verbs,test,No consta que el problema ___ definitivament.,s’haja resolt,es resolguera,se resoldrà,s’ha resolt,A,Present perfet de subjuntiu.,Material original
C2-VOC-0395,C2,Vocabulari temàtic,test,Com diries “invertir esfuerzo o recursos” en valencià?,esmerçar,greuge,defugir,palesar,A,“invertir esfuerzo o recursos” correspon a “esmerçar”.,Material original
C2-PRO-0151,C2,Pronoms febles,test,Tria la substitució pronominal correcta.,Posa-hi-lo.,Posa-l’hi.,Li posa ho.,Posa això ací.,B,Combinació de complement directe + lloc: l’hi.,Material original
C2-ORT-0414,C2,Ortografia,test,Quina opció està escrita correctament?,justaposar,juxtaposar,juxstaposar,juxtapoçar,B,Juxtaposar conserva x.,Material original
C2-COM-0306,C2,Comprensió escrita,test,"Text: La proposta de reforma és ambiciosa, però la seua viabilitat depén de factors que el document només apunta de manera tangencial: la disponibilitat pressupostària, la coordinació interadministrativa i la capacitat de seguiment. Sense aquests elements, el risc no és tant el fracàs immediat com una aplicació desigual i difícilment avaluable.

Quina valoració fa el text de la proposta?","És ambiciosa, però condicionada per factors clau",És només pressupostària,És senzilla i immediata,És inútil i s’ha de retirar,A,La primera oració ho estableix.,Material original
