id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-ACC-0013,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,ciencia,siència,ciéncia,ciència,D,Ciència porta accent per marcar la tonicitat i la e oberta.,Material original
C1-ACC-0014,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,conciencia,consciencia,consciéncia,consciència,D,Consciència porta accent obert.,Material original
C1-ACC-0015,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,pàciencia,paciencia,paciéncia,paciència,D,Paciència porta accent obert.,Material original
C1-ACC-0016,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,questió,qüestió,qüestio,cuestió,B,La u de qüe es pronuncia i porta dièresi.,Material original
C1-ACC-0017,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,linguística,llingüística,lingüística,lingüístíca,C,La u de lingüística es pronuncia i porta dièresi.,Material original
C1-ACC-0018,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,ambigüitat,ambiguitat,ambigüedat,ambigüetàt,A,La u de güi es pronuncia i porta dièresi.,Material original
C1-ACC-0019,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,raim,raím,ràim,raïm,D,Raïm porta dièresi per trencar el diftong.,Material original
C1-ACC-0020,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,veina,veína,veïna,vèina,C,Veïna porta dièresi per indicar hiat.,Material original
C1-ACC-0021,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,agraïà,agraïa,agraia,agraía,B,Agraïa porta dièresi per marcar el hiat.,Material original
C1-ACC-0022,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,conduia,conduía,condüia,conduïa,D,Conduïa porta dièresi en la i.,Material original
C1-ACC-0023,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,països,paisos,paísos,paíssos,A,Països porta dièresi perquè la i forma hiat.,Material original
C1-ACC-0024,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,diùrn,díurn,diürn,diurn,C,Diürn porta dièresi.,Material original
C1-ACC-0025,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,suís,súis,suïs,suis,A,Suís porta accent en la i tònica.,Material original
C1-ACC-0026,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,heroina,héroina,heroína,heroïna,D,Heroïna porta dièresi.,Material original
C1-ACC-0027,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,café,càfe,cafè,cafe,A,En valencià és habitual la forma café amb accent tancat.,Material original
C1-ACC-0028,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,anglès,ángles,anglés,angles,C,En valencià estàndard: anglés.,Material original
C1-ACC-0029,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,interés,ínteres,interes,interès,A,En valencià estàndard: interés.,Material original
C1-ACC-0030,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,còneixer,conéixer,conèixer,coneixer,B,En valencià estàndard: conéixer.,Material original
C1-ACC-0031,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,crèixer,creixer,créixer,creïxer,C,En valencià estàndard: créixer.,Material original
C1-ACC-0040,C1,Accentuació i dièresi,test,El signe de “veïna” indica...,guionet,accent tancat,dièresi,accent obert,C,La dièresi marca que la i es pronuncia separada.,Material original
C1-ACC-0041,C1,Accentuació i dièresi,test,Per què “país” no porta dièresi?,no porta dièresi perquè l’accent ja marca el hiat,perquè és monosíl·laba,perquè és una paraula plana,perquè no té hiat,A,"Quan hi ha accent gràfic, no cal dièresi.",Material original
C1-ACC-0042,C1,Accentuació i dièresi,test,"En “a més a més”, la paraula amb accent és...",cap,darrere,més,a,B,Més porta accent diacrític.,Material original
